,scdb_id,cl_id
0,2013-033,2659301
1,1841-005,86166
2,1913-149,98178
3,1881-187,90548
4,1889-015,92575
5,1939-004,103237
6,1875-076,89293
7,1959-064,106035
8,1907-120,96865
9,1877-165,89769
10,1943-100,104008
11,1897-116,94858
12,1912-090,97777
13,1914-130,98482
14,1989-077,112426
15,1914-149,98528
16,1850-028,86536
17,1941-133,103667
18,1879-039,90118
19,1926-011,100948
20,1887-114,92125
21,1997-037,118181
22,1937-103,102975
23,1895-051,2445445
24,1910-041,97327
25,1876-008,89339
26,1946-129,104458
27,1912-165,2621063
28,2008-027,145904
29,1987-088,112076
30,1973-013,108882
31,1866-025,87777
32,1853-009,86865
33,1920-118,99769
34,1808-007,84858
35,1891-216,93364
36,1884-109,91359
37,1871-065,88482
38,1957-041,105619
39,1967-072,107624
40,1869-088,88178
41,1964-008,106936
42,1904-015,96166
43,1918-165,99293
44,1918-146,99339
45,1859-036,87327
46,1889-274,92826
47,1932-158,102076
48,1893-069,93734
49,1885-274,91709
50,1906-039,96536
51,1954-010,105249
52,1871-144,88528
53,1967-197,107761
54,1932-160,102099
55,1903-204,96023
56,1963-153,106873
57,1971-084,108494
58,1864-049,87632
59,1854-053,86920
60,1891-070,93221
61,1905-115,96473
62,1992-041,112830
63,1916-173,98894
64,1866-050,87798
65,1920-135,99786
66,1859-023,87262
67,1933-001,102133
68,1869-107,88197
69,1890-122,92963
70,1893-005,93671
71,1904-158,96189
72,1908-044,96920
73,1960-041,106170
74,1941-094,103688
75,1911-233,97632
76,1990-048,112563
77,1974-123,109285
78,1837-020,86023
79,1987-114,112099
80,2001-036,118494
81,1888-130,92430
82,1939-066,103372
83,1909-158,97262
84,2007-007,145841
85,1842-002,86189
86,1987-143,112133
87,1913-121,98197
88,1849-006,86473
89,1877-092,89786
90,1942-011,103722
91,1936-064,102830
92,1873-142,88894
93,1887-049,92060
94,1912-111,97798
95,1984-105,111436
96,1897-025,94767
97,1878-064,89856
98,1912-162,97848
99,1964-073,107018
100,1872-188,88744
101,1902-148,95875
102,1951-095,105025
103,1922-197,100227
104,1885-130,91565
105,1892-147,93558
106,2007-057,145791
107,1917-117,99155
108,1977-123,109905
109,1817-011,85176
110,1966-098,107448
111,1870-089,88314
112,1895-089,94337
113,1932-040,101965
114,1883-243,91135
115,1943-089,103958
116,1890-270,93108
117,1924-146,100677
118,1827-015,85526
119,1919-160,99505
120,1979-059,110227
121,1899-116,95176
122,1958-125,105926
123,1948-041,104634
124,1962-107,106609
125,1875-028,89155
126,1928-070,101436
127,1888-050,92349
128,2017-057,4509417
129,1880-166,90374
130,1866-059,87848
131,1915-193,98744
132,1834-044,85875
133,1803-009,84767
134,1921-007,99856
135,1973-088,109006
136,1987-005,111965
137,1945-044,104264
138,1960-112,106259
139,1876-165,89505
140,1998-002,118247
141,1901-003,95526
142,1889-162,92719
143,1882-104,90724
144,1926-052,101066
145,1886-125,91836
146,1975-104,109456
147,1914-036,98314
148,1929-093,101573
149,1880-021,90231
150,1981-082,110698
151,1835-024,85930
152,1915-012,98601
153,1921-043,99913
154,1980-012,110362
155,1911-109,4246378
156,1958-070,105863
157,1898-111,95033
158,1874-070,89010
159,1926-117,101089
160,1949-051,104771
161,1899-138,95199
162,1882-037,90661
163,1886-271,91973
164,1926-099,101123
165,1975-154,109513
166,1913-071,98251
167,1981-110,110732
168,1911-146,2620808
169,1805-002,84788
170,1986-033,111820
171,1876-051,89440
172,1945-029,104321
173,1900-162,95463
174,1998-071,118302
175,1923-077,100362
176,1884-252,91420
177,1917-037,99010
178,1813-032,85033
179,1972-084,108752
180,2002-043,127912
181,1878-172,89913
182,1896-276,94622
183,1924-164,100698
184,1953-004,105160
185,1903-033,95930
186,1872-028,88601
187,1897-049,94788
188,1883-180,91070
189,1931-117,101820
190,2012-008,814955
191,1925-035,100732
192,1825-011,85463
193,2011-080,803269
194,1970-074,108302
195,1918-095,99440
196,1983-058,111123
197,1817-021,85199
198,1956-106,105530
199,1870-007,88251
200,2001-006,1087984
201,1895-018,94272
202,2002-073,130150
203,1906-196,96561
204,1891-148,93299
205,1965-097,107223
206,2003-072,136987
207,1993-015,112922
208,1916-103,98986
209,1920-210,99694
210,1855-030,86998
211,1860-005,87370
212,1932-106,102021
213,1869-013,88085
214,1890-024,92871
215,1893-100,93763
216,1903-082,96131
217,1964-028,106961
218,1971-152,108586
219,1865-048,87720
220,1992-099,112888
221,1853-018,86832
222,1891-184,93333
223,1934-066,102471
224,1910-184,97370
225,1888-189,92488
226,1961-097,106432
227,1987-045,112021
228,1913-218,98085
229,1850-066,86561
230,1877-170,89694
231,1941-147,103630
232,1908-112,96998
233,1874-095,88986
234,1887-162,92172
235,1907-149,96832
236,1959-090,106062
237,1912-033,97720
238,1937-163,102888
239,2014-043,2801434
240,1989-119,112471
241,1975-051,109397
242,1840-004,86131
243,1888-223,92522
244,1939-014,103260
245,1962-096,106598
246,1847-036,86424
247,1942-054,103775
248,1930-063,101748
249,1887-025,92037
250,1996-034,118093
251,1937-027,102867
252,1899-147,95208
253,1909-132,97235
254,1962-081,106577
255,1976-129,109682
256,2007-032,145816
257,1979-008,110159
258,1988-014,112164
259,1973-077,108990
260,1839-014,86074
261,1976-175,109728
262,1888-167,92467
263,1939-131,103325
264,1876-048,89381
265,1927-121,101318
266,1960-005,106127
267,1908-100,96977
268,1901-036,95658
269,1874-043,88969
270,1996-086,118139
271,1980-105,110509
272,1915-001,98590
273,1990-036,112534
274,1817-037,85208
275,1858-046,87235
276,1971-136,108569
277,1883-019,90909
278,1922-129,100159
279,1890-093,92934
280,1933-032,102164
281,1892-215,93626
282,1905-166,96424
283,1966-057,107366
284,1992-079,112867
285,1969-058,108093
286,1985-154,111748
287,1830-003,85658
288,1864-025,87665
289,1969-091,108139
290,1916-087,98969
291,1854-008,86977
292,1891-125,93276
293,1924-006,100509
294,1872-046,88590
295,1935-069,102534
296,1967-164,107736
297,1903-079,96074
298,1949-097,104819
299,1894-044,94049
300,1882-189,90773
301,1886-149,91861
302,1926-164,101031
303,1975-055,109401
304,1914-253,98343
305,1986-137,111932
306,1877-008,89552
307,1945-126,104233
308,1880-096,90289
309,1901-147,95571
310,1997-067,118210
311,1946-074,104399
312,1880-106,90323
313,1833-039,85822
314,1915-222,98713
315,1973-123,109051
316,1920-093,99801
317,2004-052,142900
318,1979-097,110270
319,1959-012,105971
320,1899-020,95121
321,1874-129,89102
322,1948-070,104663
323,1931-114,101932
324,1903-058,95988
325,1924-214,100620
326,1828-014,85571
327,1970-002,108210
328,1919-112,99552
329,1956-004,105422
330,1870-101,88343
331,1996-004,1087896
332,1885-063,91498
333,1895-110,94360
334,1957-017,105588
335,1923-012,100270
336,1885-094,91532
337,1978-010,109952
338,1917-216,99102
339,1815-033,85121
340,1972-019,108640
341,1878-021,89801
342,1931-091,101898
343,1896-217,94730
344,1952-041,105072
345,1902-094,95822
346,1872-113,88713
347,1983-095,111174
348,2006-046,145729
349,1869-117,88206
350,1894-222,94225
351,1904-189,96218
352,1931-038,101877
353,1883-136,91027
354,1936-140,102758
355,1925-053,100765
356,1860-042,87409
357,1824-037,85434
358,1918-072,99417
359,1796-002,2220732
360,1896-163,94675
361,1906-122,96648
362,1878-175,89944
363,1872-165,88656
364,1903-003,95967
365,1934-002,102308
366,1923-212,100335
367,1885-038,91477
368,2005-028,145683
369,1917-022,99047
370,1977-053,109817
371,1856-013,87059
372,1814-019,85064
373,1981-143,110765
374,1986-088,111877
375,1876-102,89417
376,1910-124,97409
377,1999-047,118355
378,1900-133,95434
379,1881-140,90636
380,1927-042,101174
381,1886-218,91924
382,1938-112,103149
383,1893-255,93919
384,1842-035,86218
385,1913-130,98206
386,1988-128,112308
387,1979-150,110335
388,1908-173,97059
389,1968-022,107809
390,1898-144,95064
391,1958-047,105834
392,1949-008,104726
393,1874-002,89047
394,1929-021,101524
395,1940-081,103519
396,1880-060,90266
397,1915-094,98656
398,1836-024,85967
399,1850-145,86648
400,1921-074,99944
401,2002-005,122244
402,1974-006,109114
403,1939-103,103276
404,1888-235,92534
405,1881-087,90509
406,1913-173,98139
407,1973-056,108969
408,1840-013,86127
409,1975-034,109381
410,1989-117,112467
411,1912-049,97736
412,1897-078,94819
413,1944-129,104049
414,1907-167,96824
415,1959-103,106074
416,1877-200,89728
417,1874-096,88990
418,1887-154,92164
419,1925-162,100909
420,1879-143,90159
421,1877-197,89682
422,1941-055,103626
423,1850-077,86577
424,1915-032,98569
425,1987-061,112037
426,1913-226,98093
427,1897-122,2621022
428,1946-092,104419
429,1961-089,106424
430,1876-056,89378
431,1910-081,97366
432,1934-129,102467
433,1891-176,93325
434,2004-005,137729
435,1806-011,84819
436,1853-011,86824
437,1920-175,99728
438,1865-020,87736
439,1971-156,108590
440,1903-100,96127
441,1964-041,106977
442,1869-049,88139
443,1957-071,105658
444,1886-037,91748
445,1893-112,93775
446,2015-015,3168777
447,1932-150,102037
448,1869-020,88093
449,1890-021,92867
450,1859-017,87366
451,1918-105,99378
452,1920-215,99682
453,1993-027,112934
454,1916-107,98990
455,1965-105,107235
456,2003-076,136991
457,1872-017,88569
458,1953-056,105208
459,2002-068,130146
460,1906-185,96577
461,1860-015,87389
462,1918-051,99397
463,1963-124,106832
464,1903-162,96062
465,1967-151,107720
466,1890-041,92888
467,1872-025,88586
468,1935-040,102522
469,1891-108,93260
470,1906-163,96598
